title,abstract
Educational Robotics: Development of computational thinking in collaborative online learning,"In the previous study the work experience on organization of teaching Robotics to secondary school students at school lessons and in study groups was introduced. This study which was conducted within 2019 and 2021 covered the period of distant learning caused by COVID-19 pandemic and even post-pandemic period, when a part of school students continued learning online. The study deals with the problem of developing school students’ computational thinking in online learning. We consider computational thinking as a set of cognitive skills of solving educational and cognitive problems. The research questions raised were aimed at solving the problem of the influence of Educational Robotics on developing computational thinking. During the research we have found out that due to the adaptability of robots, Educational Robotics, the development of individual learning programs, and the arrangement of collaborative online learning are instruments and a solution to the problem of developing computational thinking. The main components of computational thinking, which were studied within those 3 years, are the following: algorithmic thinking, ability to program, and efficiency in team work. The influence of the learning strategy we chose enabled us to determine the level of computational thinking and its dependence on learning Robotics. We used statistical criteria in order to summarize the results of our research. The statistics provided suggests progress in the indicator tracked. Based on the experimental data received we approximated reliability (R^2) and relevant exponential equation (trend lines). The research we carried out also has led to the general conclusion that Educational Robotics helps to create synergistic learning environment for stimulating students’ motivation, collaboration, self-efficacy and creativity."
"A Sim-to-real Practical Approach to Teach Robotics into K-12: A Case Study of Simulators, Educational and DIY Robotics in Competition-based Learning","Simulators in robotics are well-known tools for the development of new applications and training and integration of systems for remote operation or supervision. Therefore, robotics is one of the most used practices in science, technology, engineering, and mathematics-based educational frameworks, and, with COVID-19, simulators have become increasingly important. This study shows specific benefits achieved for K-12 students in an individualized family service plan/resource teachers for the gifted model based on a review. A simulator is typically adopted for undergraduates students to increase their ability to make technical-based decisions and move smoothly between the real and virtual worlds, with a strong emphasis on the feedback from both. It enables students to develop abilities to build robots without needing commercial kits. In a sim-to-real approach, early simulation allows improved team integration and reduced reliance on skills, equalizing the abilities of students, regardless of their backgrounds. Simultaneously, simulation encourages students to work harder in real implementation by equalizing their class level, resulting in competition-based learning."
Learning robot differential movements using a new educational robotics simulation tool,"The study of robotics has become a popular course among many educational programs, especially as a technical elective. A significant part of this course involves having the students learn how to program the movement of a robotic arm by controlling the velocity of its individual joint motors, a topic referred to as joint programming. They must learn how to develop algorithms to move the end effector of the arm by controlling the instantaneous velocity or some similar aspect, of each joint motor. To support this learning activity, physical or virtual robotic arms are typically employed. Visual observation of the movement of the arm provides feedback to the correctness of the student’s joint programming algorithms. A problem arises with supporting the student in learning how to move the robotic arm with precise velocity along some path, a subtopic of joint programming referred to as differential movements. To develop this knowledge, the student must produce and test differential movement algorithms and have the capability to verify its correctness. Regardless of the type of arm used, physical or virtual, the human eye cannot notice the difference between a correct or incorrect movement of the end effector as this will involve noticing small differences in velocities. This study found that by simulating the process of spray painting on a virtual canvas, the correctness of a differential movement algorithm may be accessed by observing the resulting paint on the canvas as opposed to observing the movement of the arm. A model of a set of spray-painting equipment and a canvas was added to an existing virtual robotic arm educational tool and used in an Introduction to Robotics class offered at Florida Gulf Coast University in Spring 2019 and Spring 2020. The class offered in Spring 2019 used the virtual arm but without the spray-painting feature while the class offered in Spring 2020 used the new spray-painting feature that was added to the virtual arm. Exam results show that 59.4% of the students that used the new feature scored at least an 85% on the corresponding differential movements exam question compared to only 5.6% of the class that did not use the added spray-painting feature. The differential movement exam question simply asked the student to produce a differential movements algorithm to move the arm with a specified velocity alone a straight line."
Transformative Learning: A Decade of Success in Educational Robotics Competition,"This paper explores the multidisciplinary nature of robotics and its integration into STEM education. Drawing on various studies, it highlights the positive impact of robotics on students’ thinking, problem-solving, and teamwork skills. We focus on educational robotics competition entitled “e-Yantra Robotics Competition (eYRC)”, a project-based learning initiative by e-Yantra, a robotics outreach project at IIT Bombay, India. eYRC complements traditional engineering education in India with 74 diverse themes, not only developing technical skills but emphasizes life skills such as teamwork, communication, and problem-solving. Our exploratory data analysis presents findings related to task submissions, team formation, and the impact of an electronics backgrounds on performance. The paper proposes a training program to address challenges identified in the analysis and reports on pilot studies conducted with undergraduate students. We highlight the transformative impact of eYRC through theme case studies, participant stories, startup successes, and its resilience during the COVID-19 pandemic preparing students for the challenges of future employment."
Examination of the usability of Tinkercad application in educational robotics teaching by eye tracking technique,"Like all sectors, the education sector has been negatively affected by the Covid-19 pandemic. Considering the decision to conduct face-to-face training in schools remotely, teachers had many difficulties in moving course content to the online platform. Teachers who perform robotic coding applications are looking for ways to do these activities remotely. Simulators enable real objects to be animated in a computer environment. There are many paid and free platforms that simulate robotic coding tools. Arduino and Micro:bit, can be simulated on the Tinkercad platform. This study tests the usability of the Tinkercad platform by teachers. In usability tests, users are expected to complete the authentic tasks they must perform on the tested platform. In this study, 12 Information Technology teachers tried to complete 10 authentic tasks in the Circuits section of the Tinkercad platform. Eye movements have been recorded and analyzed while participants perform tasks. Surveys were applied to the participants and data were collected with the observation form during the tests. Consequently, the teachers who completed the usability tests stated that it is appropriate for the platform to be used by teachers and students over 10 years of age and that they can use the platform in their activities."
The Effectiveness of Educational Robotics Simulations in Enhancing Student Learning,"This paper will compare two free versions of robotic simulation programs. All of them aim to offer an entrance into the world of robots in an easy way and with fewer resources. How can it enhance these student learning? This paper will compare two free versions of robotic simulation programs, IDE HedgeHog and Thymio Suite. One system is a web-based simulation in a web browser and does not need an installation. The other is a program on the computer; therefore, a program is to download and install on the computer. Both have different program languages, like text-based or visual-based programming languages, for different difficulty levels. A research design in which 124 students were asked to solve different tasks and responded to an online survey indicates that both simulations are user-friendly and helpful for beginners. They are useful tools to engage students in educational robotics activities or test programme codes in a virtual environment before they are transferred to physical settings."
sBotics - Gamified Framework for Educational Robotics,"This paper proposes a learning framework for Educational Robotics named sBotics, which includes a complete environment for teaching and programming skills acquisition designed for both teachers and K-12 students. Our framework has been developed using a gamified approach with the system and simulated environment developed in the Unity game engine. The main novelty of this platform is its ease-of-use combined with the flexibility to create a variety of scenarios with endless learning potential, in contrast to our evaluations where no alternatives with such characteristics were found for the K-12 range that we are targeting. Also as a contribution of our proposal, robot programs are treated as games that are affected by a disturbance model, which acts in the robotic system and environment variables. This model is introduced in order to approximate what happens in a real robot programming platform. Besides, it is possible for the user, throughout its use, to code in three levels of abstraction: its overly intuitive native programming language called R-Educ, BlockEduc (R-Educ version of Blockly), and C#. Programs can be compiled and interpreted by virtual robots executing any given command. As for teachers, the framework API offers tools that can be employed in the assembly and customization of the learning setup. The whole platform has been built as a tool dedicated to spreading the worlds of Robotics and Programming among youngsters, as well as making them more affordable to everyone. It has been validated by our experiments and is currently being used during the novel Coronavirus pandemic by the official RoboCupJunior Rescue trials in Brazil, currently with more than a thousand competing teams (about 5 thousands students)."
Educational Robotics for Inclusive Design,"This research stems from the need to prepare future teachers to design digital inclusive teaching. The contribution thus presents a distance training course on Coding and Educational Robotics (ER) for pre-service support teachers (PSSTs). The aim was not only to enhance PSSTs’ digital skills but mainly to foster their ability to design for all, using technologies in an inclusive perspective. Trainers supported them without offering predefined work packages. They stimulated PPSTs to become experimenters and researchers to identify functional paths for the introduction of coding-ER in their future curricular teaching. We investigated the evolution of PSSTs’ basic knowledge and self-confidence on coding-ER tools and methodologies and their beliefs on their introduction to PSSTs’ education. We finally detected their satisfaction with this training course. From the results, the training proved to be effective, despite the distance implementation and the lack of an embodied approach. The PSSTs showed a greater self-confidence and a higher awareness about the benefits of ER. They also demonstrated a conscious use of tools and a focus on inclusiveness in the design of learning paths. We can identify the following as success factors: the strong interaction between participants supported by the course structure; the continuous feedback from both peers and trainers; the possibility to experiment in groups and share successes and failures. These positive results have also led to a greater awareness of the role of support teachers in the complexity of classroom life."
Educational Robotics: Methodological Considerations and Practice of Mechatronics,"The paper discusses the current state of educational robotics, specifically its project-based engineering perspective for K-12 students, utilizing a hands-on approach to voluntarily build and use robotic solutions of different complexity in digital fabrication environment. Analysis of student behavior for the given approach is presented. Educational content composition scheme is proposed and demonstrated with practical examples realized with students. Further steps to improve student motivation are considered."
“Experience” on the Screen. Training Pre-service Teachers on Educational Robotics,"Training teachers is relevant for Educational Robotics’ (ER) effective and motivated introduction in schools. Teachers’ self-confidence and beliefs about new technologies are crucial elements for the students’ proficiency. A lack of self-confidence could often prevent the successful implementation of new activities in schools. For this reason, Pre-Service Teachers (PSTs) are a key category to invest in. Furthermore, given the potential of ER to achieve inclusive education, there is a solid reason to train Pre-Service Support Teachers (S-PST) as well. Coding and ER training is indeed generally provided through in-person and extra-curricular courses aimed primarily at in-service teachers. The present study addresses the need for training PSTs and S-PSTs on those topics, also through experiential distance curricular courses. Specifically, we examined PSTs’ and S-PSTs’ knowledge and self-confidence towards ER pre-post training, their beliefs and their satisfaction with the courses. The study also investigates whether a distance experiential pathway can be successful despite the lack of a face-to-face experience. The results are satisfactory not only for improving knowledge but also for the effectiveness in enhancing PSTs’ self-confidence towards ER and coding. We also achieved positive results in terms of beliefs and satisfaction with the course."
